country,cpi,rank,gdppercap,log_gdp
Afghanistan,16.0,174.0,368.7546,5.9101313821524935
Albania,35.0,110.0,6492.872,8.778460238776516
Algeria,33.0,117.0,3690.628,8.213551912255845
Angola,29.0,136.0,1953.534,7.577395319001972
Argentina,38.0,96.0,10636.12,9.27201103473627
Armenia,49.0,58.0,4966.514,8.510473464537977
Australia,73.0,18.0,60443.11,11.009457871052273
Austria,74.0,13.0,53637.71,10.890007644463404
Azerbaijan,30.0,128.0,5387.998,8.591929166334937
Bahamas,64.0,30.0,27478.39,10.221155156555891
Bahrain,42.0,78.0,26562.97,10.18727341962788
Bangladesh,26.0,147.0,2457.925,7.807072777048582
Barbados,65.0,29.0,17225.46,9.75414380089538
Belarus,41.0,82.0,7302.258,8.895938894376933
Belgium,73.0,18.0,51247.02,10.844412748968628
Benin,42.0,78.0,1319.155,7.1847466590807985
Bhutan,68.0,25.0,3266.365,8.091433024787538
Bolivia,30.0,128.0,3345.197,8.115280864699603
Bosnia and Herzegovina,35.0,110.0,7143.311,8.87393167333639
Botswana,55.0,45.0,6805.221,8.825445390678729
Brazil,38.0,96.0,7507.161,8.92361264399282
Brunei Darussalam,,,31449.08,10.356125008918522
Bulgaria,42.0,78.0,12221.5,9.410951974783307
Burkina Faso,42.0,78.0,893.0771,6.794672915335463
Burundi,19.0,169.0,221.4777,5.400321907215998
Cabo Verde,58.0,39.0,3293.233,8.099625036022674
Cambodia,23.0,157.0,1625.235,7.3934076996926565
Cameroon,27.0,144.0,1666.933,7.418740689981468
Canada,74.0,13.0,51987.94,10.858767047588326
Central African Republic,24.0,154.0,461.1375,6.133696263166676
Chad,20.0,164.0,685.6903,6.530426068062217
Chile,67.0,27.0,16265.1,9.69677698705947
China,45.0,66.0,12556.33,9.437980199871967
Colombia,39.0,87.0,6104.137,8.716722017011243
Comoros,20.0,164.0,1577.471,7.363578210728164
Costa Rica,58.0,39.0,12472.44,9.431276689140338
Croatia,47.0,63.0,17685.32,9.780490195906188
Cuba,46.0,64.0,,
Cyprus,53.0,52.0,31551.82,10.359386552517934
Czech Republic,54.0,49.0,26821.24,10.19694938992052
Democratic Republic of the Congo,19.0,169.0,577.2092,6.3582047657886305
Denmark,88.0,1.0,68007.76,11.12737709529438
Djibouti,30.0,128.0,3150.437,8.05529645235627
Dominica,55.0,45.0,7653.172,8.942875481403831
Dominican Republic,30.0,128.0,8476.752,9.045082636547562
Ecuador,36.0,105.0,5965.133,8.693686631014378
Egypt,33.0,117.0,3698.835,8.215773184187102
El Salvador,34.0,115.0,4551.185,8.423142917596941
Equatorial Guinea,17.0,172.0,7506.667,8.92354683799049
Eritrea,22.0,161.0,,
Estonia,74.0,13.0,27943.7,10.23794705067181
Eswatini,32.0,122.0,3978.404,8.288636012829341
Ethiopia,39.0,87.0,925.0775,6.829877517786544
Fiji,55.0,45.0,4646.613,8.443893846081862
Finland,88.0,1.0,53654.75,10.890325280952368
France,71.0,22.0,43658.98,10.684164267485635
Gabon,31.0,124.0,8635.326,9.063616743197613
Gambia,37.0,102.0,772.1524,6.6491819398685434
Georgia,55.0,45.0,5023.274,8.521837191336557
Germany,80.0,10.0,51203.55,10.843564144561475
Ghana,43.0,73.0,2363.299,7.7678138032490125
Greece,49.0,58.0,20192.6,9.913071479637976
Grenada,53.0,52.0,9010.572,9.106153833603944
Guatemala,25.0,150.0,5025.542,8.522288587807248
Guinea,25.0,150.0,1189.176,7.081015909285578
Guinea Bissau,21.0,162.0,795.1186,6.678491285917683
Guyana,39.0,87.0,9998.544,9.210194761375474
Haiti,20.0,164.0,1829.593,7.511848816728362
Honduras,23.0,157.0,2771.718,7.927222623533051
Hong Kong,76.0,12.0,49800.54,10.81578110632745
Hungary,43.0,73.0,18728.12,9.837781416668372
Iceland,74.0,13.0,68727.64,11.137906726264365
India,40.0,85.0,2256.59,7.721610103248989
Indonesia,38.0,96.0,4332.709,8.37394826047241
Iran,25.0,150.0,4091.209,8.31659580437807
Iraq,23.0,157.0,4775.377,8.471228202677798
Ireland,74.0,13.0,100172.1,11.514644985746648
Israel,59.0,36.0,52170.71,10.862276505277867
Italy,56.0,42.0,35657.5,10.481714782397578
Ivory Coast,36.0,105.0,2549.041,7.843472488985871
Jamaica,44.0,70.0,5183.582,8.55325160206507
Japan,73.0,18.0,39312.66,10.579301883386819
Jordan,49.0,58.0,4103.259,8.319536814992933
Kazakhstan,37.0,102.0,10373.79,9.247037711791474
Kenya,30.0,128.0,2081.8,7.640988183081368
Kosovo,39.0,87.0,5269.784,8.569744653978162
Kuwait,43.0,73.0,,
Kyrgyzstan,27.0,144.0,1276.7,7.152033902826306
Laos,30.0,128.0,2535.623,7.838194645200233
Latvia,59.0,36.0,21148.16,9.959308183053976
Lebanon,24.0,154.0,4136.146,8.327519715371817
Lesotho,38.0,96.0,1094.098,6.9976855584946005
Liberia,29.0,136.0,675.6632,6.515694727035651
Libya,17.0,172.0,6357.196,8.75734267861464
Lithuania,61.0,34.0,23723.34,10.07421465264245
Luxembourg,81.0,9.0,133590.2,11.802532184100786
Madagascar,26.0,147.0,500.511,6.21562957653574
Malawi,35.0,110.0,634.8356,6.453366067735117
Malaysia,48.0,62.0,11109.26,9.315534273754688
Maldives,40.0,85.0,10366.29,9.24631447443396
Mali,29.0,136.0,873.7949,6.772845679924427
Malta,54.0,49.0,33486.67,10.418902728178027
Mauritania,28.0,140.0,2166.047,7.680659126309819
Mauritius,54.0,49.0,9106.237,9.116714842351556
Mexico,31.0,124.0,10045.68,9.214897970328638
Moldova,36.0,105.0,5230.662,8.56229312648658
Mongolia,35.0,110.0,4566.14,8.426423488030114
Montenegro,46.0,64.0,9465.704,9.15543044016955
Morocco,39.0,87.0,3795.38,8.241539816569187
Mozambique,26.0,147.0,491.8391,6.198151630485187
Myanmar,28.0,140.0,1209.927,7.098315306192312
Namibia,49.0,58.0,4865.558,8.489936684856906
Nepal,33.0,117.0,1208.219,7.09690265345419
Netherlands,82.0,8.0,57767.88,10.964188190854244
New Zealand,88.0,1.0,48781.03,10.79509678675814
Nicaragua,20.0,164.0,2045.535,7.623414647953939
Niger,31.0,124.0,590.6295,6.381188917266601
Nigeria,24.0,154.0,2065.749,7.6332481514954935
Macedonia,39.0,87.0,6694.641,8.809062634581506
Norway,85.0,4.0,89154.27,11.398123518947411
Oman,52.0,56.0,19509.47,9.878655267692041
Pakistan,28.0,140.0,1505.01,7.316554821679174
Panama,36.0,105.0,14617.6,9.589981561141528
Papua New Guinea,31.0,124.0,2672.946,7.890936513914653
Paraguay,30.0,128.0,5891.5,8.681265913153396
Peru,36.0,105.0,6621.574,8.798088385020044
Philippines,33.0,117.0,3460.531,8.149177324484821
Poland,56.0,42.0,17999.91,9.798122036865802
Portugal,62.0,32.0,24567.51,10.109180117278322
Qatar,63.0,31.0,66838.36,11.110032446202448
Republic of Congo,21.0,162.0,2290.383,7.736474331472043
Romania,45.0,66.0,14858.23,9.6063091994681
Russia,29.0,136.0,12194.78,9.408763270306894
Rwanda,53.0,52.0,822.348,6.712163663129843
Sao Tome and Principe,45.0,66.0,2360.544,7.766647379931236
Saudi Arabia,53.0,52.0,23185.87,10.05129832038292
Senegal,43.0,73.0,1636.893,7.400555211765089
Republic of Serbia,38.0,96.0,9230.179,9.130233720591624
Seychelles,70.0,23.0,14653.31,9.592421527491492
Sierra Leone,34.0,115.0,480.0392,6.1738677672340625
Singapore,85.0,4.0,72794.0,11.195388813205843
Slovakia,52.0,56.0,21391.93,9.970769027085062
Slovenia,57.0,41.0,29291.4,10.285049236562733
Solomon Islands,43.0,73.0,2304.844,7.74276827418164
Somalia,13.0,178.0,446.9816,6.102517430455374
South Africa,44.0,70.0,7055.045,8.861498242721568
South Sudan,11.0,180.0,,
Spain,61.0,34.0,30103.51,10.31239705523408
Sri Lanka,37.0,102.0,4013.688,8.297465798383142
St. Lucia,56.0,42.0,9414.227,9.14997733469353
St. Vincent and the Grenadines,59.0,36.0,8666.387,9.067207258584077
Sudan,20.0,164.0,751.8214,6.622498795742248
Suriname,39.0,87.0,4869.134,8.490671376855554
Sweden,85.0,4.0,61028.74,11.01910017974128
Switzerland,84.0,7.0,91991.6,11.429452547514856
Syria,13.0,178.0,,
Tajikistan,25.0,150.0,897.0475,6.799108814948852
Tanzania,39.0,87.0,1099.288,7.002417976487759
Thailand,35.0,110.0,7066.19,8.863076716886761
Timor-Leste,41.0,82.0,2741.394,7.916221829132159
Togo,30.0,128.0,973.2061,6.880595878871639
Trinidad and Tobago,41.0,82.0,16032.5,9.682373191023018
Tunisia,44.0,70.0,3807.139,8.244633267404955
Turkey,38.0,96.0,9661.236,9.17587686933218
Turkmenistan,19.0,169.0,,
Uganda,27.0,144.0,883.892,6.784334883228342
Ukraine,32.0,122.0,4835.572,8.483754704923117
United Arab Emirates,69.0,24.0,44315.55,10.699090910242948
United Kingdom,78.0,11.0,46510.28,10.747428642410728
United States of America,67.0,27.0,70248.63,11.159796085226471
Uruguay,73.0,18.0,17313.19,9.759223917731148
Uzbekistan,28.0,140.0,1983.065,7.592398906600844
Vanuatu,45.0,66.0,2996.621,8.005240599526823
Venezuela,14.0,177.0,,
Vietnam,39.0,87.0,3756.489,8.231240023547242
Yemen,16.0,174.0,,
Zambia,33.0,117.0,1137.344,7.036450998563021
Zimbabwe,23.0,157.0,1773.92,7.480947066024042
